id,name,calories,carbs,fat,restaurant_id,category_id
308,"Oriental Grilled Chicken Salad, Regular",1290,92,79,2,11
309,"Oriental Grilled Chicken Salad, Regular w/o dressing",590,58,19,2,11
310,"Pecan-Crusted Chicken Salad, Half",820,72,48,2,11
311,"Pecan-Crusted Chicken Salad, Half w/o dressing",580,53,31,2,11
312,"Pecan-Crusted Chicken Salad, Regular",1350,114,80,2,11
313,"Pecan-Crusted Chicken Salad, Regular w/o dressing",880,76,46,2,11
314,Philly Burger,1130,70,67,2,7
315,Pork Wonton Tacos,820,68,41,2,10
316,Potato Skins,1090,66,103,2,10
317,Potato Twisters,970,81,60,2,10
318,Provolone-Stuffed Meatballs with Fettuccine,1520,116,90,2,5
319,Quesadilla Burger,1240,44,103,2,7
320,Queso Blanco,1330,114,82,2,10
321,Queso Blanco with chili,1440,118,89,2,10
322,Red Beans & Rice,290,48,6,2,3
323,Ribeye,670,3,47,2,5
324,Riblet and Chicken Tenders Basket,1295,103,73,2,8
325,1% Lowfat Chocolate Milk*,160,28,2,3,15
326,2% Reduced Fat White Milk*,120,12,4,3,15
327,Angus Cool Deli Sandwich,640,47,35,3,12
328,Angus Cool Deli Wrap,620,41,36,3,16
329,Angus Three Cheese & Bacon Sandwich,660,46,33,3,12
330,Apple Turnover,440,68,17,3,4
331,Applesauce,80,21,0,3,15
332,Arby’s Melt,390,39,16,3,12
333,Arby’s Sauce® Adds,15,3,0,3,12
334,Bacon Beef ‘n Cheddar,520,43,26,3,12
335,"Bacon, Egg & Cheese Biscuit",450,34,26,3,17
336,Beef’n Cheddar Classic,450,43,21,3,12
337,Beef’n Cheddar Max,680,46,37,3,12
338,Beef’n Cheddar Mild,550,43,28,3,12
339,Buffalo Dipping Sauce Adds,10,1,1,3,3
340,CapriSun® Fruit Juice,80,21,0,3,15
341,Cherry Turnover,440,67,17,3,4
342,Chicken Bacon & Swiss – Crispy,600,53,28,3,12
343,Chicken Bacon & Swiss – Roast,470,43,19,3,12
344,Chicken Biscuit*,350,39,15,3,17
345,Chicken Cordon Bleu – Crispy,620,51,30,3,8
346,Chicken Cordon Bleu – Roast,490,40,21,3,8
347,Chocolate Chunk Cookies (2),420,54,21,3,4
348,Chocolate Shake – Regular,570,98,15,3,2
349,Chocolate Shake – Small,450,75,12,3,2
350,Chocolate Turnover,510,67,25,3,4
351,Chopped Farmhouse Chicken Salad – Crispy,430,30,24,3,11
352,Chopped Farmhouse Chicken Salad – Roast,250,11,13,3,11
353,Chopped Side Salad,70,4,5,3,11
354,Classic Italian Toasted Sub,590,47,37,3,12
355,Cravin’ Chicken Sandwich – Crispy,500,53,21,3,12
356,Cravin’ Chicken Sandwich – Roast,370,42,12,3,12
357,Curly Fries – Kids,270,33,14,3,15
358,Curly Fries – Large,710,87,37,3,6
359,Curly Fries – Medium,600,74,31,3,6
360,Curly Fries – Small,450,55,24,3,6
361,Curly Fries – Value,270,33,14,3,6
362,Deluxe Bacon Cheddar,430,42,19,3,12
363,French Dip & Swiss/Au Jus,450,51,17,3,12
364,Ham & Swiss Melt,300,37,8,3,12
365,"Ham, Egg & Cheese Croissant",270,22,14,3,17
366,"Ham, Egg & Cheese Sourdough",480,46,20,3,17
367,Homestyle Fries – Kids,240,35,10,3,15
368,Homestyle Fries – Large,610,86,26,3,6
369,Homestyle Fries – Medium,480,69,21,3,6
370,Homestyle Fries – Small,360,52,16,3,6
371,Honey Dijon Mustard Sauce Adds,140,5,13,3,3
372,Horsey Sauce® Adds,50,3,5,3,12
373,Jalapeno Bites® – (5),300,31,17,3,3
374,Jalapeno Bites® – (8),470,49,27,3,3
375,Jamocha Oreo® Shake – Small,460,85,15,3,2
376,Jamocha Oreo® Swirl Shake – Regular,630,115,20,3,2
377,Jamocha Shake – Regular,570,97,15,3,2
378,Jamocha Shake – Small,440,75,12,3,2
379,Jr Chicken Sandwich,340,33,17,3,12
380,Jr Chocolate Shake,350,60,9,3,2
381,Jr Deluxe Sandwich,270,25,14,3,12
382,Jr Ham & Cheddar Sandwich,210,26,6,3,12
383,Jr Jamocha Shake,350,60,9,3,2
384,Jr Roast Beef,210,24,8,3,15
385,Jr Roast Beef Sandwich,210,24,8,3,12
386,Jr Vanilla Shake,290,45,9,3,2
387,Loaded Potato Bites® – (5),350,32,21,3,3
388,Loaded Potato Bites® – (8),570,51,34,3,3
389,Mozzarella Sticks – (4),440,39,23,3,3
390,Mozzarella Sticks – (6),660,59,34,3,3
391,Outside-In Cinnamon Bites™,300,36,15,3,17
392,Potato Cakes (2),260,28,15,3,15
393,Potato Cakes (2),260,28,15,3,3
394,Potato Cakes (3),390,42,23,3,3
395,Potato Cakes (4),510,57,30,3,3
396,Prime-Cut™ Chicken Tenders (3),360,31,17,3,8
397,Prime-Cut™ Chicken Tenders (5),610,52,28,3,8
398,Prime-Cut™ Chicken Tenders – (2),240,21,11,3,15
399,Ranch Dipping Sauce Adds,160,2,16,3,3
400,Reuben Sandwich,700,64,32,3,12
401,Roast Beef Classic,360,37,14,3,12
402,Roast Beef Max,610,46,29,3,12
403,Roast Beef Mild,470,38,22,3,12
404,Roast Chicken Club,460,41,18,3,12
405,Roast Turkey & Swiss Sandwich,710,78,28,3,12
406,Roast Turkey & Swiss Wrap,500,42,24,3,16
407,"Roast Turkey, Ranch & Bacon Sandwich",810,78,36,3,12
408,"Roast Turkey, Ranch & Bacon Wrap",600,42,32,3,16
409,Sausage Biscuit,460,33,31,3,17
410,Sausage Gravy Biscuit,460,45,26,3,17
411,"Sausage, Egg & Cheese Wrap",740,45,47,3,17
412,Shroom & Swiss,520,46,28,3,12
413,Smokin’ Chipotle Chicken*,590,60,23,3,12
414,Steakhouse Onion Rings (5),460,56,24,3,3
415,Super Roast Beef,440,44,20,3,12
416,Tangy Barbeque Sauce Adds,45,11,0,3,3
417,Turkey Bacon Club Toasted Sub,480,47,21,3,12
418,Vanilla Shake – Regular,480,74,15,3,2
419,Vanilla Shake – Small,380,60,12,3,2
420,Abc Special,750,57,38,4,12
421,Almond Croissant,620,67,35,4,17
422,Apple Croissant,420,65,15,4,17
423,Apple Danish,460,67,18,4,17
424,Apple Spice Bagel,330,68,2,4,17
425,Asiago Bagel,390,53,11,4,17
426,Asiago Cream Pasta,920,76,50,4,5
427,Asiago Focaccia,290,39,9,4,18
428,Asiago Loaf,80,14,1,4,18
429,Asiago Strip,330,60,4,4,18
430,"Bacon, Egg & Cheese Sandwich",490,52,21,4,17
431,Baja Chicken Enchilada,330,23,19,4,14
432,Baked Potato,230,23,13,4,14
433,Balsamic Bleu Salad,330,35,18,4,11
434,Banana Nut Muffin,610,63,36,4,17
435,Banana Nut Muffin Top,420,39,26,4,17
436,Basil Pesto Pasta,500,6,10,4,5
437,Bbq Chicken Pizza,320,52,5,4,19
438,Bear Claw,540,71,24,4,17
439,Belgian Waffle With Maple Syrup & Whipped Cream,530,83,18,4,17
440,Bella Chicken Sandwich,610,34,38,4,12
441,Bistro Chicken Press,780,59,41,4,12
442,Blueberry Muffin,320,41,15,4,17
443,Blueberry Muffin Top,250,31,12,4,17
444,Broccoli & Cheese,250,14,17,4,14
445,Caesar Salad,150,7,9,4,11
446,California Avocado,930,98,50,4,12
447,Caramel Nut Cheesecake,660,57,43,4,4
448,Carrot Cake Cheesecake,680,53,49,4,4
449,Cheese Croissant,360,41,19,4,17
450,Cheese Danish,490,66,22,4,17
451,Chicken & Sausage Gumbo,190,24,6,4,14
452,Chicken Cordon Bleu Panini,670,80,19,4,12
453,Chicken Parmesan,910,89,34,4,5
454,Chicken Peppercorn,430,13,34,4,14
455,Chicken Pesto Calzone,840,95,33,4,19
456,Chicken Pesto Panini,710,80,26,4,12
457,Chicken Salad On Sourdough,440,42,19,4,12
458,Chicken Waldorf,450,29,29,4,12
459,Chive Cream Cheese,170,6,15,4,17
460,Chocolate Chip Muffin,640,83,31,4,17
461,Chocolate Chip Muffin Top,390,51,19,4,17
462,Chocolate Chunk Cookie,430,58,21,4,4
463,Chocolate Croissant,560,68,28,4,17
464,Chocolate Toffee Cookie,410,56,19,4,4
465,"Chocolate, Oatmeal And Craisin Cookie",410,60,17,4,4
466,Chopstix Chicken Salad,240,22,10,4,11
467,Ciabatta,270,55,2,4,18
468,Cinnamon Crisp Bagel,330,67,2,4,17
469,Cinnamon Raisin Bagel,270,55,1,4,17
470,Cinnamon Raisin Bread,270,50,4,4,18
471,Cinnamon Roll,640,91,26,4,17
472,Classic Beef Chili,290,33,10,4,14
473,Classic Chicken Noodle,130,15,1,4,14
474,Cookies And Cream Cheesecake,440,46,26,4,4
475,Creamy Caramel Brownie,460,73,19,4,4
476,Cubano Panini,650,80,19,4,12
477,Double Chocolate Brownie,450,73,19,4,4
478,Egg & Cheese Sandwich,440,52,17,4,17
479,Everything Bagel,350,66,3,4,17
480,Fettuccine Salmone,860,83,35,4,5
481,Florentine Omelette,460,6,34,4,17
482,Four Cheese Pizza,530,46,23,4,19
483,French Baguette,90,19,0,4,18
484,French Croissant,330,37,17,4,17
485,French Loaf,110,23,0,4,18
486,French Onion,80,11,2,4,14
487,French Roll,160,34,0,4,18
488,French Toast With Maple Syrup,640,121,11,4,17
489,Frontier Chicken Chili,290,26,10,4,14
490,Garden Vegetable,90,16,0,4,14
491,Gooey Butter Danish,560,74,26,4,17
492,Greek Salad,240,15,16,4,11
493,Ham & Swiss Omelette,500,3,35,4,17
494,"Ham, Egg & Cheddar Cheese Sandwich",500,54,18,4,17
495,Homestyle Chicken & Dumpling,400,17,34,4,14
496,Honey Maple Ham On Honey Wheat,410,64,5,4,12
497,Honey Raisin Walnut Cream Cheese,190,14,14,4,17
498,Honey Wheat Bread,140,28,1,4,18
499,House Salad,90,13,2,4,11
500,Italian Vegetarian Panini,570,84,16,4,12
501,Key Lime Pie,520,65,26,4,4
502,Kid’S Cheese Pizza,300,44,7,4,15
503,Kid’S Grilled Cheese,390,46,15,4,15
504,Kid’S Peanut Butter & Jelly,550,89,15,4,15
505,Kid’S Penne And Cheese,470,69,11,4,15
506,Low Fat Apple Muffin,230,48,2,4,17
507,Low Fat Pumpkin Muffin,240,51,2,4,17
508,Low Fat Pumpkin Muffin Top,200,43,2,4,17
509,Margherita Pizza,480,43,22,4,19
510,Mocha Chip Muffin,620,79,30,4,17
511,Mocha Chip Muffin Top,410,53,20,4,17
512,Morning Classic With Bacon,420,31,21,4,17
513,Morning Classic With Ham,420,39,15,4,17
514,Morning Classic With Sausage,650,32,40,4,17
515,New England Clam Chowder,190,16,9,4,14
516,Nine Grain Bread,120,22,2,4,18
517,Ny Hot Pastrami,660,59,29,4,12
518,Oatmeal Raisin Cookie,370,59,14,4,4
519,Olive Cream Cheese,180,2,17,4,17
520,Panini Bread,430,78,8,4,18
521,Peanut Butter Cookie,440,42,37,4,4
522,Pecan Roll,860,72,59,4,17
523,Pecan Turtle Cheesecake,610,54,41,4,4
524,Penne Bolognese,980,180,13,4,5
525,Penne Pomodoro,970,79,43,4,5
526,Pepperoni Pizza,340,44,10,4,19
527,Plain Bagel,300,60,1,4,17
528,Plain Cheesecake,570,52,36,4,4
529,Plain Cream Cheese,190,1,19,4,17
530,Poppy Seed Bagel,340,62,5,4,17
531,Pumpernickel Loaf,110,22,1,4,18
532,Pumpkin Cheesecake,510,50,31,4,4
533,Pumpkin Muffin,530,83,20,4,17
534,Raspberry Cheese Croissant,430,63,18,4,17
535,Raspberry Cheese Danish,440,63,18,4,17
536,Raspberry Cream Cheese,100,8,8,4,17
537,Rye Loaf,90,18,1,4,18
538,Salsa Fresca Salmon Salad,560,40,29,4,11
539,"Sausage, Egg & Cheese Sandwich",750,53,43,4,17
540,Scrambled Eggs,190,1,13,4,17
541,Sesame Seed Bagel,390,63,9,4,17
542,Shortbread Cookie,410,45,24,4,4
543,Sourdough Baguette,90,18,0,4,18
544,Sourdough Bread,140,28,0,4,18
